station1_stop_id,station1_name,station2_stop_id,station2_name,walking_time,route,route_desc,station1_lat,station1_lon,station2_lat,station2_lon
Parent8592059,"Lausanne, Hermitage",Parent8592138,"Lausanne, Vulliemin",382.5657064205288,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5277274038693,6.63407634045182
Parent8592060,"Lausanne, Beaulieu-Jomini",8501160:0:1,Lausanne-Chauderon,541.0513999382306,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5232278570208,6.62606336811636
Parent8592060,"Lausanne, Beaulieu-Jomini",8501160:0:2,Lausanne-Chauderon,541.0513999382306,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5232278570208,6.62606336811636
Parent8592060,"Lausanne, Beaulieu-Jomini",8591984,"Lausanne, Beaulieu",280.25801646098813,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5281229506051,6.62360198423753
Parent8592060,"Lausanne, Beaulieu-Jomini",8592001,"Lausanne, Boston",555.9598350103732,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5238953957563,6.6228563825516
Parent8592060,"Lausanne, Beaulieu-Jomini",8592010,"Lausanne, Chauderon",512.280884269227,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5235925319761,6.6248236930241
Parent8592060,"Lausanne, Beaulieu-Jomini",8592011,"Lausanne, Chauderon-Ale",470.7691414780259,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5238026825335,6.62729406005577
Parent8592060,"Lausanne, Beaulieu-Jomini",8592033,"Lausanne, Druey",346.7537587400893,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5295753240702,6.62815644272865
Parent8592060,"Lausanne, Beaulieu-Jomini",8592034,"Lausanne, Druey-Collège",404.5946211739239,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5283948873152,6.63049206246768
Parent8592060,"Lausanne, Beaulieu-Jomini",8592035,"Lausanne, Ecole Commerce",412.5775779241487,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5264480376715,6.62206586510147
Parent8592060,"Lausanne, Beaulieu-Jomini",8592076,"Lausanne, Mont-Blanc",384.4109009436951,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5301315419212,6.62695270024776
Parent8592060,"Lausanne, Beaulieu-Jomini",8592085,"Lausanne, Oiseaux",578.8386730386678,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5310400188284,6.62953086511354
Parent8592060,"Lausanne, Beaulieu-Jomini",8592096,"Lausanne, Pont Chauderon",569.8585530351389,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5232340379726,6.62439250168766
Parent8592060,"Lausanne, Beaulieu-Jomini",8592104,"Lausanne, Presbytère",513.4532371251154,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5290561822701,6.6214370444025
Parent8592060,"Lausanne, Beaulieu-Jomini",8592120,"Lausanne, St-Roch",228.05007465545748,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5255765680812,6.6261352333391
Parent8592060,"Lausanne, Beaulieu-Jomini",8592125,"Lausanne, Valentin",577.5410949226481,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5245505646875,6.63128257991782
Parent8592060,"Lausanne, Beaulieu-Jomini",8592135,"Lausanne, Vinet",239.58312562796428,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5264047735536,6.62867746559351
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8501160,Lausanne-Chauderon,541.0513999382306,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5232278570208,6.62606336811636
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8591984,"Lausanne, Beaulieu",280.25801646098813,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5281229506051,6.62360198423753
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8592001,"Lausanne, Boston",555.9598350103732,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5238953957563,6.6228563825516
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8592010,"Lausanne, Chauderon",512.280884269227,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5235925319761,6.6248236930241
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8592011,"Lausanne, Chauderon-Ale",470.7691414780259,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5238026825335,6.62729406005577
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8592033,"Lausanne, Druey",346.7537587400893,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5295753240702,6.62815644272865
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8592034,"Lausanne, Druey-Collège",404.5946211739239,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5283948873152,6.63049206246768
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8592035,"Lausanne, Ecole Commerce",412.5775779241487,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5264480376715,6.62206586510147
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8592076,"Lausanne, Mont-Blanc",384.4109009436951,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5301315419212,6.62695270024776
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8592085,"Lausanne, Oiseaux",578.8386730386678,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5310400188284,6.62953086511354
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8592096,"Lausanne, Pont Chauderon",569.8585530351389,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5232340379726,6.62439250168766
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8592104,"Lausanne, Presbytère",513.4532371251154,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5290561822701,6.6214370444025
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8592120,"Lausanne, St-Roch",228.05007465545748,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5255765680812,6.6261352333391
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8592125,"Lausanne, Valentin",577.5410949226481,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5245505646875,6.63128257991782
Parent8592060,"Lausanne, Beaulieu-Jomini",Parent8592135,"Lausanne, Vinet",239.58312562796428,WALKING,WALKING,46.5272762298573,6.62639574477153,46.5264047735536,6.62867746559351
Parent8592061,"Lausanne, Jordils",8591985,"Lausanne, jardin botanique",535.4605290300727,WALKING,WALKING,46.5099310020155,6.62743779050125,46.512577032554,6.62305401191414
Parent8592061,"Lausanne, Jordils",8591986,"Lausanne, Beau-Rivage",217.0420550352506,WALKING,WALKING,46.5099310020155,6.62743779050125,46.5083049894428,6.62750067257115
Parent8592061,"Lausanne, Jordils",8592024,"Lausanne, Cour",382.14854475044655,WALKING,WALKING,46.5099310020155,6.62743779050125,46.5125646682249,6.62580285668393
Parent8592061,"Lausanne, Jordils",8592026,"Lausanne, Croix d'Ouchy",342.84044283381957,WALKING,WALKING,46.5099310020155,6.62743779050125,46.5120329994123,6.6295847640306
Parent8592061,"Lausanne, Jordils",8592028,"Lausanne, Délices",284.2531234285758,WALKING,WALKING,46.5099310020155,6.62743779050125,46.5120206349594,6.6280396617417
Parent8592061,"Lausanne, Jordils",8592039,"Lausanne, Elysée",467.2546220926308,WALKING,WALKING,46.5099310020155,6.62743779050125,46.5108398167481,6.63235157510607
Parent8592061,"Lausanne, Jordils",8592086,"Lausanne, Ouchy-Olympique",336.4468527137897,WALKING,WALKING,46.5099310020155,6.62743779050125,46.5074703253133,6.62663828989827
Parent8592061,"Lausanne, Jordils",Parent8591985,"Lausanne, jardin botanique",535.4605290300727,WALKING,WALKING,46.5099310020155,6.62743779050125,46.512577032554,6.62305401191414
Parent8592061,"Lausanne, Jordils",Parent8591986,"Lausanne, Beau-Rivage",217.0420550352506,WALKING,WALKING,46.5099310020155,6.62743779050125,46.5083049894428,6.62750067257115
Parent8592061,"Lausanne, Jordils",Parent8592024,"Lausanne, Cour",382.14854475044655,WALKING,WALKING,46.5099310020155,6.62743779050125,46.5125646682249,6.62580285668393
Parent8592061,"Lausanne, Jordils",Parent8592026,"Lausanne, Croix d'Ouchy",342.84044283381957,WALKING,WALKING,46.5099310020155,6.62743779050125,46.5120329994123,6.6295847640306
Parent8592061,"Lausanne, Jordils",Parent8592028,"Lausanne, Délices",284.2531234285758,WALKING,WALKING,46.5099310020155,6.62743779050125,46.5120206349594,6.6280396617417
Parent8592061,"Lausanne, Jordils",Parent8592039,"Lausanne, Elysée",467.2546220926308,WALKING,WALKING,46.5099310020155,6.62743779050125,46.5108398167481,6.63235157510607
Parent8592061,"Lausanne, Jordils",Parent8592086,"Lausanne, Ouchy-Olympique",336.4468527137897,WALKING,WALKING,46.5099310020155,6.62743779050125,46.5074703253133,6.62663828989827
Parent8592062,"Lausanne, Jurigoz",8591979,"Lausanne, Alpes",309.77351678178405,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5150498418356,6.6367173873875
Parent8592062,"Lausanne, Jurigoz",8592020,"Lausanne, Closelet",484.061928351179,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5154640263886,6.63307022733346
Parent8592062,"Lausanne, Jurigoz",8592039,"Lausanne, Elysée",459.8836493344705,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5108398167481,6.63235157510607
Parent8592062,"Lausanne, Jurigoz",8592072,"Lausanne, Mirabeau",580.9172689243986,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5169167382994,6.63479499267922
Parent8592062,"Lausanne, Jurigoz",8592077,"Lausanne, Montchoisi",219.05630193139154,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5111242046312,6.63702281458414
Parent8592062,"Lausanne, Jurigoz",8592079,"Lausanne, Mont-Fleuri",495.2783078918094,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5144872876111,6.631785636477
Parent8592062,"Lausanne, Jurigoz",8592084,"Lausanne, Musée Olympique",434.8148940627135,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5096095128933,6.63518126825144
Parent8592062,"Lausanne, Jurigoz",8592186,"Pully, Métairie",529.715028393043,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5100670160716,6.64081370508365
Parent8592062,"Lausanne, Jurigoz",Parent8591979,"Lausanne, Alpes",309.77351678178405,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5150498418356,6.6367173873875
Parent8592062,"Lausanne, Jurigoz",Parent8592020,"Lausanne, Closelet",484.061928351179,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5154640263886,6.63307022733346
Parent8592062,"Lausanne, Jurigoz",Parent8592039,"Lausanne, Elysée",459.8836493344705,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5108398167481,6.63235157510607
Parent8592062,"Lausanne, Jurigoz",Parent8592072,"Lausanne, Mirabeau",580.9172689243986,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5169167382994,6.63479499267922
Parent8592062,"Lausanne, Jurigoz",Parent8592077,"Lausanne, Montchoisi",219.05630193139154,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5111242046312,6.63702281458414
Parent8592062,"Lausanne, Jurigoz",Parent8592079,"Lausanne, Mont-Fleuri",495.2783078918094,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5144872876111,6.631785636477
Parent8592062,"Lausanne, Jurigoz",Parent8592084,"Lausanne, Musée Olympique",434.8148940627135,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5096095128933,6.63518126825144
Parent8592062,"Lausanne, Jurigoz",Parent8592186,"Pully, Métairie",529.715028393043,WALKING,WALKING,46.5127315864305,6.63653772433065,46.5100670160716,6.64081370508365
Parent8592063,"Lausanne, Lac Sauvabelin",8587357,"Lausanne, Bellevaux",482.9576031422504,WALKING,WALKING,46.5379921450759,6.63904402397369,46.5389004904951,6.63395057631202
Parent8592063,"Lausanne, Lac Sauvabelin",8592016,"Lausanne, Chocolatière",276.71541659122573,WALKING,WALKING,46.5379921450759,6.63904402397369,46.5363360748666,6.64085862084787
Parent8592063,"Lausanne, Lac Sauvabelin",8592066,"Lausanne, Libellules",593.5522455825173,WALKING,WALKING,46.5379921450759,6.63904402397369,46.5407171357472,6.64415543794104
Parent8592063,"Lausanne, Lac Sauvabelin",8592092,"Lausanne, Piécettes",561.5840640794249,WALKING,WALKING,46.5379921450759,6.63904402397369,46.5417428337695,6.63626822974538
Parent8592063,"Lausanne, Lac Sauvabelin",8592137,"Lausanne, Cascades",350.3732363630206,WALKING,WALKING,46.5379921450759,6.63904402397369,46.5401548472833,6.64120896380872
Parent8592063,"Lausanne, Lac Sauvabelin",Parent8587357,"Lausanne, Bellevaux",482.9576031422504,WALKING,WALKING,46.5379921450759,6.63904402397369,46.5389004904951,6.63395057631202
Parent8592063,"Lausanne, Lac Sauvabelin",Parent8592016,"Lausanne, Chocolatière",276.71541659122573,WALKING,WALKING,46.5379921450759,6.63904402397369,46.5363360748666,6.64085862084787
Parent8592063,"Lausanne, Lac Sauvabelin",Parent8592066,"Lausanne, Libellules",593.5522455825173,WALKING,WALKING,46.5379921450759,6.63904402397369,46.5407171357472,6.64415543794104
Parent8592063,"Lausanne, Lac Sauvabelin",Parent8592092,"Lausanne, Piécettes",561.5840640794249,WALKING,WALKING,46.5379921450759,6.63904402397369,46.5417428337695,6.63626822974538
Parent8592063,"Lausanne, Lac Sauvabelin",Parent8592137,"Lausanne, Cascades",350.3732363630206,WALKING,WALKING,46.5379921450759,6.63904402397369,46.5401548472833,6.64120896380872
Parent8592064,"Lausanne, Languedoc",8591983,"Lausanne, Batelière",430.66580456844923,WALKING,WALKING,46.5178996149693,6.6170981815796,46.5163727486004,6.61296593127207
Parent8592064,"Lausanne, Languedoc",8591990,"Lausanne, Belvédère",400.86963968465295,WALKING,WALKING,46.5178996149693,6.6170981815796,46.5209037692875,6.61713411419097
Parent8592064,"Lausanne, Languedoc",8592005,"Lausanne, Cèdres",453.62489138276857,WALKING,WALKING,46.5178996149693,6.6170981815796,46.5148087478811,6.61915532358052
Parent8592064,"Lausanne, Languedoc",8592046,"Lausanne, Fontenay",227.467115003368,WALKING,WALKING,46.5178996149693,6.6170981815796,46.5166941977171,6.61884989638387
Parent8592064,"Lausanne, Languedoc",8592075,"Lausanne, Mont d'Or",219.48253164904133,WALKING,WALKING,46.5178996149693,6.6170981815796,46.5169476466415,6.61514883741279
Parent8592064,"Lausanne, Languedoc",8592097,"Lausanne, Pont Marc Dufour",177.2443928162346,WALKING,WALKING,46.5178996149693,6.6170981815796,46.5190370098051,6.61809531154511
Parent8592064,"Lausanne, Languedoc",8592110,"Lausanne, Riant-Cour",324.51837707011043,WALKING,WALKING,46.5178996149693,6.6170981815796,46.515581481135,6.61602918639135
Parent8592064,"Lausanne, Languedoc",8592122,"Lausanne, Tivoli",599.7470919363092,WALKING,WALKING,46.5178996149693,6.6170981815796,46.5211571985771,6.62159874115366
Parent8592064,"Lausanne, Languedoc",Parent8591983,"Lausanne, Batelière",430.66580456844923,WALKING,WALKING,46.5178996149693,6.6170981815796,46.5163727486004,6.61296593127207
Parent8592064,"Lausanne, Languedoc",Parent8591990,"Lausanne, Belvédère",400.86963968465295,WALKING,WALKING,46.5178996149693,6.6170981815796,46.5209037692875,6.61713411419097
Parent8592064,"Lausanne, Languedoc",Parent8592005,"Lausanne, Cèdres",453.62489138276857,WALKING,WALKING,46.5178996149693,6.6170981815796,46.5148087478811,6.61915532358052
Parent8592064,"Lausanne, Languedoc",Parent8592046,"Lausanne, Fontenay",227.467115003368,WALKING,WALKING,46.5178996149693,6.6170981815796,46.5166941977171,6.61884989638387
Parent8592064,"Lausanne, Languedoc",Parent8592075,"Lausanne, Mont d'Or",219.48253164904133,WALKING,WALKING,46.5178996149693,6.6170981815796,46.5169476466415,6.61514883741279
Parent8592064,"Lausanne, Languedoc",Parent8592097,"Lausanne, Pont Marc Dufour",177.2443928162346,WALKING,WALKING,46.5178996149693,6.6170981815796,46.5190370098051,6.61809531154511
Parent8592064,"Lausanne, Languedoc",Parent8592110,"Lausanne, Riant-Cour",324.51837707011043,WALKING,WALKING,46.5178996149693,6.6170981815796,46.515581481135,6.61602918639135
